时间:2016/5/7 9:30:13,事件:RsultAnalysis@EnterExitMC_pt:上一流程未完成
时间:2016/5/7 9:32:04,事件:RsultAnalysis@EnterExitMC_pt:车辆未到达当前流程的指定地点
时间:2016/5/7 9:33:57,事件:RsultAnalysis@EnterExitMC_pt:值不能为 null。rn参数名: value
时间:2016/5/7 10:52:01,事件:RsultAnalysis@SubmitYanp_pt:Could not map: ISXL
时间:2016/5/7 10:52:02,事件:RsultAnalysis@SubmitYanp_pt:Could not map: ISXL
时间:2016/5/7 10:52:03,事件:RsultAnalysis@SubmitYanp_pt:Could not map: ISXL
时间:2016/5/7 10:52:03,事件:RsultAnalysis@SubmitYanp_pt:Could not map: ISXL
时间:2016/5/7 10:52:04,事件:RsultAnalysis@SubmitYanp_pt:Could not map: ISXL
时间:2016/5/7 10:52:04,事件:RsultAnalysis@SubmitYanp_pt:Could not map: ISXL
时间:2016/5/7 10:52:05,事件:RsultAnalysis@SubmitYanp_pt:Could not map: ISXL
时间:2016/5/7 10:52:06,事件:RsultAnalysis@SubmitYanp_pt:Could not map: ISXL
时间:2016/5/7 10:52:06,事件:RsultAnalysis@SubmitYanp_pt:Could not map: ISXL
时间:2016/5/7 10:52:07,事件:RsultAnalysis@SubmitYanp_pt:Could not map: ISXL
时间:2016/5/7 14:11:47,事件:RsultAnalysis@EnterExitParking_pt:获取系统业务数据异常
时间:2016/5/7 14:12:07,事件:RsultAnalysis@EnterExitParking_pt:获取系统业务数据异常
